Country/Region,Cumulative male cases,Cumulative female cases,Cumulative total cases,Number of deaths,Case fatalities ratio (%),Date onset first probable case,Date onset last probable case,Median age,Age range,Number of Imported cases,Percentage of Imported cases,Number of HCW affected,Percentage of HCW affected,Continent,Population
Australia,4,2,6,0,0,2003-02-26,2003-04-01,15,1-45,6,100,0,0,Oceania,19827000
Canada,151,100,251,43,17,2003-02-23,2003-06-12,49,1-98,5,2,109,43,North America,31676000
China,2674,2607,5327,349,7,2002-11-16,2003-06-03,,,,,1002,19,Asia,1315303522
"Hong Kong SAR, China",977,778,1755,299,17,2003-02-15,2003-05-31,40,0-100,,,386,22,Asia,6810100
"Macao SAR, China",0,1,1,0,0,2003-05-05,2003-05-05,28,,1,100,0,0,Asia,460200
Taiwan,218,128,346,37,11,2003-02-25,2003-06-15,42,0-93,21,6,68,20,Asia,22593681
France,1,6,7,1,14,2003-03-21,2003-05-03,49,,7,100,2,29,Europe,60251590
Germany,4,5,9,0,0,2003-03-09,2003-05-06,44,4-73,9,100,1,11,Europe,81614371
India,0,3,3,0,0,2003-04-25,2003-05-06,25,25-30,3,100,0,0,Asia,1111523146
Indonesia,0,2,2,0,0,2003-04-06,2003-04-17,56,47-65,2,100,0,0,Asia,220309473
Italy,1,3,4,0,0,2003-03-12,2003-04-20,30,25-54,4,100,0,0,Europe,57564589
Kuwait,1,0,1,0,0,2003-04-09,2003-04-09,50,,1,100,0,0,Asia,2183161
Malaysia,1,4,5,2,40,2003-03-14,2003-04-22,30,26-84,5,100,0,0,Asia,24698821
Mongolia,8,1,9,0,0,2003-03-31,2003-05-06,32,17-63,8,89,0,0,Asia,2468764
New Zealand,1,0,1,0,0,2003-04-20,2003-04-20,67,,1,100,0,0,Oceania,4061600
Philippines,8,6,14,2,14,2003-02-25,2003-05-05,41,29-73,7,50,4,29,Asia,83051969
Ireland,0,1,1,0,0,2003-02-27,2003-02-27,56,,1,100,0,0,Europe,3980077
South Korea,0,3,3,0,0,2003-04-25,2003-05-10,40,20-80,3,100,0,0,Asia,48260901
Romania,0,1,1,0,0,2003-03-19,2003-03-19,52,,1,100,0,0,Europe,21720403
Russia,0,1,1,0,0,2003-05-05,2003-05-05,25,,,,0,0,Europe,144648624
Singapore,161,77,238,33,14,2003-02-25,2003-05-05,35,1-90,8,3,97,41,Asia,4115000
South Africa,0,1,1,1,100,2003-04-03,2003-04-03,62,,1,100,0,0,Africa,45026000
Spain,0,1,1,0,0,2003-03-26,2003-03-26,33,,1,100,0,0,Europe,42596455
Sweden,3,2,5,0,0,2003-03-28,2003-04-23,43,33-55,5,100,0,0,Europe,8951439
Switzerland,0,1,1,0,0,2003-03-09,2003-03-09,35,,1,100,0,0,Europe,7268363
Thailand,5,4,9,2,22,2003-03-11,2003-05-27,42,2-79,9,100,1,11,Asia,64549867
United Kingdom,2,2,4,0,0,2003-03-01,2003-04-01,59,28-74,4,100,0,0,Europe,59636700
United States of America,13,14,27,0,0,2003-02-24,2003-07-13,36,0-83,27,100,0,0,North America,290107933
Vietnam,39,24,63,5,8,2003-02-23,2003-04-14,43,20-76,1,2,36,57,Asia,82301649
